,0
0.1,1.0
0.2,1.0
0.30000000000000004,1.0
0.4,1.0
0.5,1.0
0.6,1.0
0.7000000000000001,1.0
0.8,1.0
0.9,1.0
1.0,1.0
1.1,1.0
1.2000000000000002,1.0
1.3000000000000003,1.0
1.4000000000000001,1.0
1.5000000000000002,1.0
1.6,1.0
1.7000000000000002,1.0
1.8000000000000003,1.0
1.9000000000000001,1.0
2.0,1.0
2.1,1.0
2.2,1.0
2.3000000000000003,1.0
2.4000000000000004,1.0
2.5000000000000004,1.0
2.6,1.0
2.7,1.0
2.8000000000000003,1.0
2.9000000000000004,1.0
3.0000000000000004,1.0
3.1,1.0
3.2,1.0
3.3000000000000003,1.0
3.4000000000000004,1.0
3.5000000000000004,1.0
3.6,0.99
3.7,0.99
3.8000000000000003,0.99
3.9000000000000004,0.99
4.0,0.99
4.1,0.99
4.2,0.99
4.3,0.99
4.3999999999999995,0.99
4.5,0.99
4.6,0.99
4.7,0.99
4.8,0.99
4.9,0.99
5.0,0.99
5.1,0.99
5.2,0.99
5.3,0.99
5.4,0.99
5.5,0.99
5.6,0.99
5.7,0.99
5.8,0.98
5.9,0.98
6.0,0.98
6.1,0.98
6.2,0.98
6.3,0.98
6.4,0.98
6.5,0.98
6.6,0.99
6.7,0.99
6.8,0.99
6.9,0.98
7.0,0.98
7.1,0.98
7.2,0.98
7.3,0.97
7.4,0.97
7.5,0.96
7.6,0.96
7.7,0.96
7.8,0.96
7.9,0.96
8.0,0.96
8.1,0.96
8.2,0.97
8.3,0.97
8.4,0.98
8.5,0.98
8.6,0.98
8.7,0.98
8.8,0.99
8.9,0.98
9.0,0.98
9.1,0.98
9.2,0.98
9.3,0.98
9.4,0.98
9.5,0.98
9.6,0.98
9.700000000000001,0.98
9.8,0.98
9.9,0.99
