,0
-1.5,0.96
-1.4,0.96
-1.3,0.96
-1.2,0.96
-1.1,0.96
-1.0,0.48
-0.8999999999999999,0.96
-0.7999999999999999,0.96
-0.7,0.96
-0.6,0.96
-0.5,0.96
-0.3999999999999999,0.96
-0.2999999999999998,0.96
-0.19999999999999996,0.96
-0.09999999999999987,0.96
0.0,0.96
0.10000000000000009,0.96
0.20000000000000018,0.96
0.30000000000000004,0.96
0.40000000000000013,0.96
0.5,0.96
0.6000000000000001,0.96
0.7000000000000002,0.96
0.8000000000000003,0.96
0.9000000000000004,0.96
1.0,0.95
1.1,0.95
1.2000000000000002,0.95
1.3000000000000003,0.94
1.4000000000000004,0.94
1.5,0.93
1.6,0.92
1.7000000000000002,0.91
1.8000000000000003,0.9
1.9000000000000004,0.89
2.0,0.87
2.1,0.85
2.2,0.82
2.3000000000000003,0.8
2.4000000000000004,0.76
2.5,0.73
2.6000000000000005,0.69
2.7,0.64
2.8,0.6
2.9000000000000004,0.56
3.0,0.52
3.1000000000000005,0.49
3.2,0.46
3.3000000000000007,0.43
3.4000000000000004,0.41
3.5,0.39
3.6000000000000005,0.39
3.7,0.4
3.8000000000000007,0.41
3.9000000000000004,0.42
4.0,0.45
4.1000000000000005,0.47
4.2,0.49
4.300000000000001,0.49
4.4,0.49
4.5,0.47
