,scheme1_se_tau_exper,scheme1_se_tau_std,scheme1_cpmg_tau_exper,scheme1_cpmg_tau_std,scheme2_tau_exper,scheme2_tau_std,scheme1_se_tau,scheme1_cpmg_tau,scheme2_tau
0,0.976,0.012,0.99,0.00632455532034,0.928,0.0172046505341,0.984,0.998,0.969
1,0.912,0.0193907194297,0.956,0.00489897948557,0.928,0.016,0.982,0.998,0.971
2,0.978,0.0172046505341,0.97,0.0654217089352,0.926,0.008,0.981,0.998,0.942
3,0.928,0.0292574776767,0.974,0.0195959179423,0.93,0.00894427191,0.98,0.997,0.968
4,0.972,0.0146969384567,0.872,0.0213541565041,0.912,0.0203960780544,0.965,0.994,0.949
5,0.946,0.0135646599663,0.978,0.004,0.894,0.0392937654088,0.95,0.986,0.947
6,0.784,0.0431740662898,0.9,0.0414728827067,0.796,0.063749509802,0.871,0.944,0.866
7,0.774,0.0458693797647,0.822,0.0354400902933,0.674,0.0682934843159,0.639,0.877,0.724
8,0.614,0.102489023803,0.672,0.0957914401186,0.404,0.161071412734,0.629,0.806,0.431
9,0.64,0.0394968353163,0.624,0.101705457081,0.37,0.0807465169527,0.67,0.75,0.395
10,0.51,0.138708327075,0.622,0.064930732323,0.39,0.163217646105,0.675,0.672,0.398
