,scheme1_se_tau_exper,scheme1_se_tau_std,scheme1_cpmg_tau_exper,scheme1_cpmg_tau_std,scheme2_tau_exper,scheme2_tau_std,scheme1_se_tau,scheme1_cpmg_tau,scheme2_tau
0,0.868,0.024819347291981736,0.892,0.011661903789690611,0.748,0.02925747767665561,0.982,0.997,0.948
1,0.866,0.004898979485566361,0.9,0.006324555320336764,0.8019999999999999,0.027856776554368228,0.981,0.998,0.939
2,0.8560000000000001,0.013564659966250548,0.89,0.008944271909999166,0.774,0.031368774282716234,0.98,0.997,0.934
3,0.842,0.017204650534085226,0.8859999999999999,0.008000000000000007,0.788,0.025612496949731382,0.972,0.994,0.937
4,0.85,0.014142135623730963,0.8720000000000001,0.027856776554368263,0.78,0.028982753492378874,0.95,0.988,0.922
5,0.76,0.027568097504180468,0.8479999999999999,0.024819347291981736,0.702,0.08084553172563097,0.887,0.9676,0.889
6,0.6779999999999999,0.08352245207128439,0.8019999999999999,0.03487119154832537,0.674,0.056071383075504744,0.766,0.92,0.761
7,0.48200000000000004,0.09019977827023745,0.6839999999999999,0.06887670143089022,0.438,0.09042123644365853,0.581,0.785,0.54
8,0.33399999999999996,0.14319217855734998,0.46799999999999997,0.11651609330903608,0.40800000000000003,0.07222188034107116,0.442,0.626,0.305
9,0.426,0.18810635289643995,0.506,0.04715930449020637,0.27399999999999997,0.1470510115572144,0.473,0.523,0.224
10,0.44799999999999995,0.1153082824431966,0.368,0.14147791347061914,0.19,0.1366747965061591,0.439,0.493,0.238
